Label,Probability_0,Probability_1
0,1.0,1.4456646e-10
0,0.9999411,5.8883033e-05
0,0.9999992,7.788075e-07
0,0.99999994,3.6020786e-08
0,0.99999994,5.2901544e-08
0,0.9911899,0.008810077
0,0.99999994,6.810388e-08
0,1.0,6.90859e-12
0,1.0,6.6988493e-22
0,1.0,5.7180997e-16
0,0.99999994,4.871809e-08
0,0.9999984,1.6228632e-06
0,0.9999989,1.0708396e-06
0,0.9920175,0.007982503
0,1.0,3.782807e-13
0,0.9558801,0.044119883
0,0.9917696,0.00823039
0,1.0,4.330885e-09
1,0.16088796,0.83911204
0,1.0,5.835184e-20
0,1.0,2.7832037e-09
0,0.99998987,1.0105734e-05
0,0.9986813,0.0013186799
1,0.21647179,0.7835282
1,0.022113442,0.97788656
0,0.9997834,0.00021659979
0,1.0,2.549867e-18
0,1.0,1.4001848e-13
0,0.9969508,0.0030491813
0,1.0,1.8606617e-14
0,0.9999999,1.0313835e-07
0,1.0,4.3314824e-19
0,0.99970233,0.00029765267
0,1.0,1.9183581e-16
0,0.99999857,1.4367055e-06
0,1.0,1.4705925e-16
0,1.0,1.9925515e-28
0,0.9970328,0.0029672042
0,0.999984,1.5954747e-05
0,1.0,8.595729e-09
0,1.0,2.2865434e-12
0,0.9997865,0.00021348026
0,1.0,1.9559456e-11
0,1.0,7.091489e-10
0,0.9998999,0.00010006687
0,1.0,4.83533e-10
0,1.0,1.5479468e-08
0,0.99999994,7.0211065e-08
0,1.0,8.932266e-31
0,1.0,1.9330784e-17
0,1.0,3.2463396e-23
0,0.9962998,0.003700204
0,1.0,6.0293857e-17
0,0.9938096,0.006190408
0,0.999921,7.895156e-05
0,1.0,9.635099e-09
0,1.0,2.1955468e-21
0,1.0,7.338988e-10
0,1.0,5.0042195e-14
0,0.9975411,0.002458882
0,1.0,3.0919902e-37
0,1.0,7.569964e-24
0,0.99990594,9.403688e-05
0,1.0,2.109605e-10
0,1.0,3.0982578e-12
0,1.0,1.911023e-33
0,1.0,3.0178957e-17
0,1.0,1.0790352e-18
0,0.99999994,6.539812e-08
0,1.0,5.053714e-14
0,1.0,8.1861606e-20
0,1.0,1.2047354e-08
0,0.99999064,9.347049e-06
0,1.0,3.7661318e-14
0,1.0,1.2459155e-13
0,1.0,0.0
0,0.99997747,2.2542434e-05
1,0.025291562,0.97470844
0,0.9992567,0.0007433181
0,0.9999575,4.250617e-05
0,1.0,5.0523176e-36
0,0.96269417,0.037305843
0,1.0,5.725444e-20
0,1.0,2.5213013e-28
0,0.88854295,0.111457035
0,0.8861651,0.11383493
0,1.0,4.3971646e-13
0,1.0,6.3162066e-11
0,1.0,1.0851751e-15
0,0.99998087,1.9156667e-05
0,1.0,5.1801092e-09
0,0.9999999,1.4732831e-07
0,0.9875076,0.012492447
0,1.0,4.1137748e-15
0,1.0,6.201278e-10
0,1.0,1.3114932e-14
0,0.9999999,1.0016284e-07
0,0.96746194,0.032538075
0,1.0,9.412093e-14
0,1.0,2.8204805e-11
1,0.44499373,0.55500627
0,1.0,2.9843185e-13
0,0.99990946,9.055535e-05
0,1.0,7.787919e-16
0,1.0,3.5522373e-16
0,1.0,5.014937e-19
0,1.0,9.712961e-21
0,0.99994624,5.3790263e-05
0,1.0,5.8345483e-13
0,1.0,4.1468565e-10
0,1.0,3.0705243e-09
0,1.0,3.4825606e-16
0,0.99999934,6.6677165e-07
0,0.9999992,7.543776e-07
0,0.9984285,0.0015714953
0,1.0,6.1000255e-10
0,0.5564459,0.4435541
0,0.99935806,0.00064195186
0,0.9999995,4.6626008e-07
0,1.0,1.0547744e-20
0,1.0,2.8971417e-11
0,0.999992,7.9778665e-06
0,0.9999999,1.3340018e-07
0,1.0,4.165566e-17
0,0.99990034,9.968381e-05
1,0.0005314946,0.9994685
0,1.0,9.725268e-10
0,0.99801373,0.001986248
0,1.0,1.977732e-09
0,0.9999937,6.340577e-06
0,0.99834275,0.0016572688
0,1.0,2.7417584e-09
0,1.0,9.112367e-12
0,0.99999905,9.409865e-07
0,0.9999989,1.0440265e-06
0,1.0,2.9929764e-10
0,0.99981666,0.00018333492
0,0.9999999,8.948859e-08
0,0.99999654,3.4539298e-06
0,0.99999994,7.456444e-08
0,0.9934379,0.0065620914
0,1.0,6.658586e-10
0,0.6309663,0.3690337
0,1.0,2.1229038e-11
0,1.0,8.142485e-15
0,0.99106044,0.008939577
0,0.8809304,0.11906959
1,0.39853728,0.6014627
0,0.99999994,8.6779664e-08
0,1.0,1.0374779e-15
0,1.0,8.1692314e-10
0,1.0,2.5138647e-08
0,0.99985677,0.00014325153
0,0.971816,0.028183984
0,1.0,1.0593061e-36
0,1.0,2.173162e-09
0,1.0,4.11835e-27
0,0.89078784,0.10921215
0,1.0,1.2935418e-10
0,1.0,2.2973932e-16
0,0.9999993,7.1388035e-07
0,0.99999595,4.0547443e-06
0,1.0,5.822072e-18
0,0.99999815,1.8187495e-06
0,1.0,7.271247e-13
0,1.0,2.1438234e-14
0,0.9602299,0.039770126
0,0.9999999,9.9440825e-08
0,0.9999962,3.7942739e-06
0,0.9999453,5.4713837e-05
0,1.0,1.8628305e-11
0,1.0,5.238207e-11
0,0.9192595,0.08074051
0,1.0,1.8974258e-17
0,1.0,0.0
0,1.0,9.119098e-19
0,1.0,1.700442e-10
0,1.0,6.0294455e-20
1,0.0036093593,0.99639064
0,0.99989307,0.000106922525
0,0.999585,0.0004150567
0,1.0,5.0989137e-24
0,1.0,2.5671917e-10
0,0.6116326,0.38836744
0,1.0,5.2679495e-28
1,0.46043235,0.53956765
0,1.0,9.927491e-10
0,1.0,3.5204183e-14
0,0.9999995,4.4790005e-07
0,1.0,6.375054e-18
0,0.7323483,0.2676517
0,1.0,5.976375e-13
0,1.0,8.039002e-11
0,0.9999996,4.4084373e-07
0,1.0,3.720338e-33
0,1.0,5.333161e-12
0,1.0,5.616692e-29
0,1.0,8.423157e-16
0,0.9991491,0.0008509264
0,0.99654984,0.0034501413
0,0.9999259,7.406543e-05
0,1.0,1.4319512e-10
0,0.9999999,9.7120605e-08
0,0.9999997,2.8376124e-07
0,0.99873966,0.0012603207
0,1.0,9.28674e-16
0,1.0,1.1221364e-15
0,1.0,2.6919272e-11
0,0.9985785,0.0014214951
0,1.0,3.0063143e-09
0,0.88004065,0.119959354
0,1.0,8.073821e-15
0,1.0,1.7940535e-09
0,0.99998367,1.6341557e-05
0,0.9988748,0.0011251882
